date,level,event,dd_from_peak,rolling_peak_equity,current_equity,z_score,today_dispersion,ticker,reason,exit_price,action,new_stop
2024-10-24,6.0,halt_triggered,-5.7854,100000.0,-478543.41000000003,,,,,,,
2024-10-25,6.0,halt_resumed,-5.805,100000.0,-480497.64,,,,,,,
2024-10-28,6.0,halt_triggered,-5.8059,100000.0,-480585.30000000005,,,,,,,
2024-10-29,1.0,,,,,,,CVI,overnight_gap_down_19.2pct,19.25,,
2024-10-29,6.0,halt_resumed,-5.8164,100000.0,-481636.86,,,,,,,
2024-10-30,6.0,halt_triggered,-5.7399,100000.0,-473985.4,,,,,,,
2024-10-31,1.0,,,,,,,AVDL,overnight_gap_up_27.7pct,16.48,,
2024-10-31,1.0,,,,,,,ROKU,overnight_gap_down_12.3pct,68.0,,
2024-10-31,6.0,halt_resumed,-5.7472,100000.0,-474718.27,,,,,,,
2024-11-01,6.0,halt_triggered,-5.7164,100000.0,-471637.06000000006,,,,,,,
2024-11-04,6.0,halt_resumed,-5.7252,100000.0,-472523.82000000007,,,,,,,
2024-11-05,6.0,halt_triggered,-5.7198,100000.0,-471978.79000000004,,,,,,,
2024-11-06,6.0,halt_resumed,-5.7237,100000.0,-472372.52,,,,,,,
2024-11-07,6.0,halt_triggered,-5.753,100000.0,-475304.35,,,,,,,
2024-11-08,1.0,,,,,,,PINS,overnight_gap_down_14.1pct,29.14,,
2024-11-08,6.0,halt_resumed,-5.7722,100000.0,-477223.61,,,,,,,
2024-11-11,6.0,halt_triggered,-5.6796,100000.0,-467964.32000000007,,,,,,,
2024-11-12,6.0,halt_resumed,-5.6567,100000.0,-465670.94000000006,,,,,,,
2024-11-13,1.0,,,,,,,LBTYA,overnight_gap_down_47.0pct,10.99,,
2024-11-13,6.0,halt_triggered,-5.6602,100000.0,-466019.14,,,,,,,
2024-11-14,6.0,halt_resumed,-5.6676,100000.0,-466762.16000000003,,,,,,,
2024-11-15,1.0,,,,,,,ALHC,overnight_gap_down_13.5pct,11.1,,
2024-11-15,6.0,halt_triggered,-5.7326,100000.0,-473262.87,,,,,,,
2024-11-18,6.0,halt_resumed,-5.708,100000.0,-470803.44999999995,,,,,,,
2024-11-19,6.0,halt_triggered,-5.7182,100000.0,-471818.64,,,,,,,
2024-11-20,6.0,halt_resumed,-5.7293,100000.0,-472929.98,,,,,,,
2024-11-21,6.0,halt_triggered,-5.7558,100000.0,-475583.70999999996,,,,,,,
2024-11-22,6.0,halt_resumed,-5.7799,100000.0,-477988.76,,,,,,,
2024-11-25,6.0,halt_triggered,-5.79,100000.0,-478997.57999999996,,,,,,,
2024-11-26,6.0,halt_resumed,-5.7739,100000.0,-477385.23,,,,,,,
2024-11-27,6.0,halt_triggered,-5.7739,100000.0,-477393.23,,,,,,,
2024-11-29,6.0,halt_resumed,-5.7828,100000.0,-478280.43000000005,,,,,,,
2024-12-02,6.0,halt_triggered,-5.8218,100000.0,-482175.35,,,,,,,
2024-12-03,6.0,halt_resumed,-5.8071,100000.0,-480709.4,,,,,,,
2024-12-04,6.0,halt_triggered,-5.8152,100000.0,-481524.47,,,,,,,
2024-12-05,6.0,halt_resumed,-5.8279,100000.0,-482785.66000000003,,,,,,,
2024-12-06,6.0,halt_triggered,-5.7641,100000.0,-476413.77,,,,,,,
2024-12-09,6.0,halt_resumed,-5.7682,100000.0,-476822.07999999996,,,,,,,
2024-12-10,6.0,halt_triggered,-5.78,100000.0,-477997.05000000005,,,,,,,
2024-12-11,6.0,halt_resumed,-5.8063,100000.0,-480627.74,,,,,,,
2024-12-12,6.0,halt_triggered,-5.8172,100000.0,-481718.02,,,,,,,
2024-12-13,6.0,halt_resumed,-5.8534,100000.0,-485340.28,,,,,,,
2024-12-16,6.0,halt_triggered,-5.8617,100000.0,-486173.13,,,,,,,
2024-12-17,6.0,halt_resumed,-5.8999,100000.0,-489985.44000000006,,,,,,,
2024-12-18,6.0,halt_triggered,-5.7845,100000.0,-478451.92000000004,,,,,,,
2024-12-19,1.0,,,,,,,LW,overnight_gap_down_15.7pct,65.96,,
2024-12-19,6.0,halt_resumed,-5.8425,100000.0,-484253.39,,,,,,,
2024-12-20,6.0,halt_triggered,-5.8554,100000.0,-485536.08999999997,,,,,,,
2024-12-23,6.0,halt_resumed,-5.8654,100000.0,-486542.57000000007,,,,,,,
2024-12-24,6.0,halt_triggered,-5.8611,100000.0,-486113.81000000006,,,,,,,
2024-12-26,6.0,halt_resumed,-5.8769,100000.0,-487685.89,,,,,,,
2024-12-27,6.0,halt_triggered,-5.8911,100000.0,-489108.82000000007,,,,,,,
2024-12-30,6.0,halt_resumed,-5.8914,100000.0,-489144.45000000007,,,,,,,
2024-12-31,6.0,halt_triggered,-5.8914,100000.0,-489144.45000000007,,,,,,,
2025-01-02,6.0,halt_resumed,-5.8793,100000.0,-487932.49,,,,,,,
2025-01-03,6.0,halt_triggered,-5.8477,100000.0,-484774.95000000007,,,,,,,
2025-01-06,6.0,halt_resumed,-5.8826,100000.0,-488262.47,,,,,,,
2025-01-07,6.0,halt_triggered,-5.9633,100000.0,-496330.68000000005,,,,,,,
2025-01-08,1.0,,,,,,,IONQ,overnight_gap_down_21.9pct,38.75,,
2025-01-08,6.0,halt_resumed,-5.9749,100000.0,-497491.64,,,,,,,
2025-01-10,1.0,,,,,,,ARHS,overnight_gap_up_14.8pct,10.86,,
2025-01-10,1.0,,,,,,,HOLO,overnight_gap_up_28.3pct,108.78,,
2025-01-10,6.0,halt_triggered,-5.8993,100000.0,-489932.05000000005,,,,,,,
2025-01-13,6.0,halt_resumed,-5.9443,100000.0,-494430.48,,,,,,,
2025-01-14,6.0,halt_triggered,-5.9772,100000.0,-497716.52,,,,,,,
2025-01-15,6.0,halt_resumed,-5.9818,100000.0,-498184.05000000005,,,,,,,
2025-01-16,6.0,halt_triggered,-5.992,100000.0,-499200.81000000006,,,,,,,
2025-01-17,6.0,halt_resumed,-6.0063,100000.0,-500629.01,,,,,,,
2025-01-21,6.0,halt_triggered,-6.0202,100000.0,-502017.02,,,,,,,
2025-01-22,6.0,halt_resumed,-6.0371,100000.0,-503711.67000000004,,,,,,,
2025-01-23,6.0,halt_triggered,-6.0719,100000.0,-507189.99,,,,,,,
2025-01-24,6.0,halt_resumed,-6.082,100000.0,-508198.79000000004,,,,,,,
2025-01-24,,dispersion_cb_triggered_dec128,,,,4.3617,0.124062,,,,,
2025-01-27,1.0,,,,,,,CLS,overnight_gap_down_13.2pct,105.63,,
2025-01-27,1.0,,,,,,,GEV,overnight_gap_down_19.2pct,339.6,,
2025-01-27,1.0,,,,,,,SMR,overnight_gap_down_17.2pct,23.15,,
2025-01-27,6.0,halt_triggered,-5.9983,100000.0,-499827.55000000005,,,,,,,
2025-01-28,1.0,,,,,,,HOLO,overnight_gap_up_12.5pct,75.6,,
2025-01-28,6.0,halt_resumed,-6.0168,100000.0,-501679.36,,,,,,,
2025-01-29,6.0,halt_triggered,-6.0269,100000.0,-502686.57000000007,,,,,,,
2025-01-30,6.0,halt_resumed,-6.0355,100000.0,-503547.04000000004,,,,,,,
2025-01-31,6.0,halt_triggered,-6.0657,100000.0,-506570.20999999996,,,,,,,
2025-02-03,6.0,halt_resumed,-6.0909,100000.0,-509087.91000000003,,,,,,,
2025-02-04,6.0,halt_triggered,-6.1093,100000.0,-510928.81000000006,,,,,,,
2025-02-05,6.0,halt_resumed,-6.116,100000.0,-511597.76,,,,,,,
2025-02-06,6.0,halt_triggered,-6.0783,100000.0,-507832.93000000005,,,,,,,
2025-02-07,1.0,,,,,,,NBIX,overnight_gap_down_16.3pct,126.01,,
2025-02-07,6.0,halt_resumed,-6.089,100000.0,-508904.83999999997,,,,,,,
2025-02-10,6.0,halt_triggered,-6.1003,100000.0,-510030.62,,,,,,,
2025-02-11,6.0,halt_resumed,-6.1172,100000.0,-511717.30000000005,,,,,,,
2025-02-12,6.0,halt_triggered,-6.2044,100000.0,-520436.45000000007,,,,,,,
2025-02-13,6.0,halt_resumed,-6.1661,100000.0,-516608.63,,,,,,,
2025-02-14,6.0,halt_triggered,-6.1776,100000.0,-517756.1,,,,,,,
2025-02-18,1.0,,,,,,,PCT,overnight_gap_up_15.1pct,10.72,,
2025-02-18,6.0,halt_resumed,-6.1402,100000.0,-514019.80000000005,,,,,,,
2025-02-19,1.0,,,,,,,CVI,overnight_gap_up_12.0pct,20.71,,
2025-02-19,6.0,halt_triggered,-6.1626,100000.0,-516259.17000000004,,,,,,,
2025-02-20,6.0,halt_resumed,-6.1554,100000.0,-515536.64,,,,,,,
2025-02-21,1.0,,,,,,,HOLO,overnight_gap_up_19.3pct,56.8,,
2025-02-21,6.0,halt_triggered,-6.1953,100000.0,-519528.89,,,,,,,
2025-02-24,6.0,halt_resumed,-6.1538,100000.0,-515378.13,,,,,,,
2025-02-25,6.0,halt_triggered,-6.1453,100000.0,-514527.22,,,,,,,
2025-02-26,6.0,halt_resumed,-6.1568,100000.0,-515678.57000000007,,,,,,,
2025-02-27,6.0,halt_triggered,-6.1809,100000.0,-518090.31000000006,,,,,,,
2025-02-28,6.0,halt_resumed,-6.2126,100000.0,-521256.57000000007,,,,,,,
2025-03-03,1.0,,,,,,,HOLO,overnight_gap_up_29.4pct,50.2,,
2025-03-03,6.0,halt_triggered,-6.1673,100000.0,-516732.48,,,,,,,
2025-03-04,6.0,halt_resumed,-6.1763,100000.0,-517632.85,,,,,,,
2025-03-05,6.0,halt_triggered,-6.1504,100000.0,-515039.27,,,,,,,
2025-03-06,6.0,halt_resumed,-6.1604,100000.0,-516037.68000000005,,,,,,,
