strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,composite_score,recommended
williams_r_oversold,regime_flip,16,0.5625,1.0285,0.1435,2.2964,-51.4464,27.5,23.36,False
williams_r_oversold,time_stop_20d,16,0.5625,1.0285,0.1435,2.2964,-51.4464,27.5,23.36,False
williams_r_oversold,atr_trail_1x,16,0.375,0.698,-0.7774,-12.4391,-30.9871,6.2,15.0,False
williams_r_oversold,trailing_5pct,16,0.25,0.8382,-0.3781,-6.0501,-32.1745,17.2,10.0,False
williams_r_oversold,break_even_at_1r,16,0.1875,0.8848,-0.3185,-5.0957,-38.5072,10.7,7.5,False
ichimoku_cloud_breakout,ma_exit_ema9,14,0.5714,1.6788,0.6819,9.5472,-4.5463,1.9,66.4,True
ichimoku_cloud_breakout,earnings_blackout,14,0.8571,68.5009,150.3592,2105.0291,-27.9414,643.5,64.28,False
ichimoku_cloud_breakout,regime_flip,14,0.6429,2.8479,5.8305,81.6265,-20.5274,28.7,55.72,False
ichimoku_cloud_breakout,time_stop_20d,14,0.6429,2.8479,5.8305,81.6265,-20.5274,28.7,55.72,False
ichimoku_cloud_breakout,class_time_stop,14,0.6429,1.9445,4.8844,68.3815,-24.8386,35.7,54.05,False
ichimoku_cloud_breakout,time_stop_10d,14,0.5714,1.5309,2.2548,31.5668,-31.0412,14.4,38.78,False
ichimoku_cloud_breakout,trailing_15pct,14,0.4286,1.4291,2.8577,40.0074,-44.807,130.3,30.02,False
ichimoku_cloud_breakout,breakeven_plus_trail,14,0.3571,1.3825,2.0537,28.7524,-34.9743,30.1,25.76,False
ichimoku_cloud_breakout,r_multiple_2r,14,0.3571,1.2931,1.0564,14.7901,-20.6651,9.9,23.08,False
ichimoku_cloud_breakout,hybrid_50pct_target,14,0.5,1.0857,0.4285,5.9986,-37.6835,31.9,22.57,False
ichimoku_cloud_breakout,next_pivot_target,14,0.5,0.8815,-0.5955,-8.3369,-20.3334,12.9,20.0,False
ichimoku_cloud_breakout,atr_trail_2x,14,0.3571,1.1825,0.9792,13.7082,-25.2855,20.9,19.76,False
ichimoku_cloud_breakout,break_even_at_1r,14,0.1429,0.8747,-0.2649,-3.7083,-11.1476,8.6,18.99,False
ichimoku_cloud_breakout,trailing_5pct,14,0.3571,0.4286,-1.3051,-18.2718,-18.4409,10.4,16.62,False
ichimoku_cloud_breakout,atr_trail_1x,14,0.2857,0.7682,-0.5421,-7.5889,-17.6443,5.8,14.96,False
ichimoku_cloud_breakout,fixed_4r_2r,14,0.3571,0.9416,-0.4542,-6.3592,-57.0771,24.0,14.28,False
ichimoku_cloud_breakout,trailing_10pct,14,0.2857,0.5384,-2.1028,-29.4392,-27.2761,41.0,11.43,False
ichimoku_cloud_breakout,r_multiple_3r,14,0.2143,0.8676,-0.6097,-8.5356,-33.9837,14.1,8.57,False
