strategy,exit_method,mae_bucket,n,win_rate,avg_pnl_pct,total_pnl_pct
ultimate_oscillator,next_pivot_target,q4_ge_10pct,9,0.8888888888888888,2.1409666666666665,19.2687
ultimate_oscillator,r_multiple_2r,q1_lt_2pct,2,0.0,-2.5730000000000004,-5.146000000000001
ultimate_oscillator,r_multiple_2r,q4_ge_10pct,9,0.2222222222222222,-0.595211111111111,-5.3568999999999996
ultimate_oscillator,r_multiple_3r,q1_lt_2pct,2,0.0,-2.5730000000000004,-5.146000000000001
ultimate_oscillator,r_multiple_3r,q4_ge_10pct,9,0.1111111111111111,-2.259066666666667,-20.3316
ultimate_oscillator,regime_flip,q1_lt_2pct,2,0.0,-3.30495,-6.6099
ultimate_oscillator,regime_flip,q4_ge_10pct,9,0.6666666666666666,0.2874777777777779,2.587300000000001
ultimate_oscillator,reverse_signal,q1_lt_2pct,2,0.5,-0.6489,-1.2978
ultimate_oscillator,reverse_signal,q4_ge_10pct,9,0.2222222222222222,-1.331711111111111,-11.9854
ultimate_oscillator,smc_mitigation_zone,q1_lt_2pct,2,0.0,-1.5322500000000001,-3.0645000000000002
ultimate_oscillator,smc_mitigation_zone,q4_ge_10pct,9,0.3333333333333333,-1.057,-9.513
ultimate_oscillator,time_stop_10d,q1_lt_2pct,2,1.0,1.4973,2.9946
ultimate_oscillator,time_stop_10d,q4_ge_10pct,9,0.5555555555555556,1.1481000000000001,10.3329
ultimate_oscillator,time_stop_20d,q1_lt_2pct,2,0.0,-3.30495,-6.6099
ultimate_oscillator,time_stop_20d,q4_ge_10pct,9,0.6666666666666666,0.2874777777777779,2.587300000000001
ultimate_oscillator,trailing_10pct,q1_lt_2pct,2,0.5,7.0245,14.049
ultimate_oscillator,trailing_10pct,q4_ge_10pct,9,0.5555555555555556,2.979133333333334,26.812200000000004
ultimate_oscillator,trailing_15pct,q1_lt_2pct,2,0.5,4.4079999999999995,8.815999999999999
ultimate_oscillator,trailing_15pct,q4_ge_10pct,9,0.3333333333333333,0.6041666666666665,5.437499999999998
ultimate_oscillator,trailing_5pct,q1_lt_2pct,2,0.0,-3.02415,-6.0483
ultimate_oscillator,trailing_5pct,q4_ge_10pct,9,0.3333333333333333,-0.36238888888888887,-3.2615
williams_r_oversold,atr_trail_1x,q4_ge_10pct,7,0.14285714285714285,-0.9988714285714285,-6.9921
williams_r_oversold,atr_trail_2x,q4_ge_10pct,7,0.42857142857142855,0.9718999999999999,6.803299999999999
williams_r_oversold,atr_trail_mae_conditional,q4_ge_10pct,7,0.14285714285714285,-0.9988714285714285,-6.9921
williams_r_oversold,atr_trail_vix_conditional,q4_ge_10pct,7,0.14285714285714285,0.15510000000000015,1.085700000000001
williams_r_oversold,break_even_at_1r,q4_ge_10pct,7,0.2857142857142857,-0.8873142857142858,-6.211200000000001
williams_r_oversold,breakeven_plus_trail,q4_ge_10pct,7,0.42857142857142855,4.2999,30.0993
williams_r_oversold,chandelier_3x,q4_ge_10pct,7,0.14285714285714285,0.4916571428571429,3.4416
williams_r_oversold,class_time_stop,q4_ge_10pct,7,0.5714285714285714,0.13515714285714292,0.9461000000000004
williams_r_oversold,earnings_blackout,q4_ge_10pct,7,0.42857142857142855,-5.296871428571429,-37.078100000000006
williams_r_oversold,fixed_4r_2r,q4_ge_10pct,7,0.42857142857142855,0.08958571428571409,0.6270999999999987
williams_r_oversold,hybrid_50pct_target,q4_ge_10pct,7,0.7142857142857143,-0.38185714285714284,-2.673
williams_r_oversold,ma_exit_ema9,q4_ge_10pct,7,0.0,-1.1771285714285715,-8.2399
williams_r_oversold,mfe_lockin_trail,q4_ge_10pct,7,0.14285714285714285,-0.9988714285714285,-6.9921
williams_r_oversold,multi_tier_partial,q4_ge_10pct,7,0.14285714285714285,-0.7997714285714286,-5.5984
williams_r_oversold,next_pivot_target,q4_ge_10pct,7,0.8571428571428571,1.3114000000000001,9.1798
williams_r_oversold,r_multiple_2r,q4_ge_10pct,7,0.14285714285714285,-1.6738714285714287,-11.7171
williams_r_oversold,r_multiple_3r,q4_ge_10pct,7,0.14285714285714285,-1.2602142857142857,-8.8215
williams_r_oversold,regime_flip,q4_ge_10pct,7,0.5714285714285714,1.2140000000000002,8.498000000000001
williams_r_oversold,reverse_signal,q4_ge_10pct,7,0.14285714285714285,-0.9988714285714285,-6.9921
williams_r_oversold,smc_mitigation_zone,q4_ge_10pct,7,0.0,-1.7245142857142857,-12.0716
williams_r_oversold,time_stop_10d,q4_ge_10pct,7,0.5714285714285714,1.0755857142857141,7.5291
williams_r_oversold,time_stop_20d,q4_ge_10pct,7,0.5714285714285714,1.2140000000000002,8.498000000000001
williams_r_oversold,trailing_10pct,q4_ge_10pct,7,0.5714285714285714,-1.4148571428571428,-9.904
williams_r_oversold,trailing_15pct,q4_ge_10pct,7,0.14285714285714285,-1.770857142857143,-12.396
williams_r_oversold,trailing_5pct,q4_ge_10pct,7,0.42857142857142855,-0.2612285714285714,-1.8285999999999998
xs_momentum_top_decile,atr_trail_1x,q1_lt_2pct,2,0.0,-2.74915,-5.4983
xs_momentum_top_decile,atr_trail_1x,q4_ge_10pct,21,0.23809523809523808,-1.0301857142857143,-21.6339
xs_momentum_top_decile,atr_trail_2x,q1_lt_2pct,2,0.5,-1.2777999999999996,-2.555599999999999
xs_momentum_top_decile,atr_trail_2x,q4_ge_10pct,21,0.47619047619047616,2.7276714285714285,57.281099999999995
xs_momentum_top_decile,atr_trail_mae_conditional,q1_lt_2pct,2,0.0,-2.74915,-5.4983
xs_momentum_top_decile,atr_trail_mae_conditional,q4_ge_10pct,21,0.23809523809523808,-1.0301857142857143,-21.6339
