strategy,exit_method,smart_money_signal_present,n,win_rate,avg_pnl_pct,total_pnl_pct
pre_fomc_long_sleeve,hybrid_50pct_target,yes,49,0.5102040816326531,2.0303081632653064,99.4851
pre_fomc_long_sleeve,ma_exit_ema9,yes,49,0.22448979591836735,-2.418469387755102,-118.505
pre_fomc_long_sleeve,mfe_lockin_trail,yes,49,0.14285714285714285,-3.950859183673469,-193.5921
pre_fomc_long_sleeve,multi_tier_partial,yes,49,0.32653061224489793,-2.985522448979592,-146.2906
pre_fomc_long_sleeve,next_pivot_target,yes,49,0.6530612244897959,-1.418330612244898,-69.4982
pre_fomc_long_sleeve,r_multiple_2r,yes,49,0.20408163265306123,-2.600851020408163,-127.4417
pre_fomc_long_sleeve,r_multiple_3r,yes,49,0.12244897959183673,-3.0614448979591833,-150.0108
pre_fomc_long_sleeve,regime_flip,yes,49,0.5510204081632653,5.638675510204082,276.2951
pre_fomc_long_sleeve,reverse_signal,yes,49,0.14285714285714285,-4.01289387755102,-196.6318
pre_fomc_long_sleeve,smc_mitigation_zone,yes,49,0.14285714285714285,-4.01289387755102,-196.6318
pre_fomc_long_sleeve,time_stop_10d,yes,49,0.5102040816326531,-1.746757142857143,-85.5911
pre_fomc_long_sleeve,time_stop_20d,yes,49,0.5510204081632653,5.638675510204082,276.2951
pre_fomc_long_sleeve,trailing_10pct,yes,49,0.24489795918367346,-2.224628571428571,-109.0068
pre_fomc_long_sleeve,trailing_15pct,yes,49,0.4897959183673469,7.159075510204081,350.7947
pre_fomc_long_sleeve,trailing_5pct,yes,49,0.12244897959183673,-2.9887755102040816,-146.45
prev_day_high_break,atr_trail_1x,yes,20,0.2,-1.2239649999999997,-24.479299999999995
prev_day_high_break,atr_trail_2x,yes,20,0.45,-1.2463799999999998,-24.927599999999998
prev_day_high_break,atr_trail_mae_conditional,yes,20,0.2,-1.2239649999999997,-24.479299999999995
prev_day_high_break,atr_trail_vix_conditional,yes,20,0.25,-0.896255,-17.9251
prev_day_high_break,break_even_at_1r,yes,20,0.1,-2.38131,-47.6262
prev_day_high_break,breakeven_plus_trail,yes,20,0.45,-1.653425,-33.0685
prev_day_high_break,chandelier_3x,yes,20,0.2,-1.523815,-30.4763
prev_day_high_break,class_time_stop,yes,20,0.25,-5.146485,-102.9297
prev_day_high_break,earnings_blackout,yes,20,0.3,-11.370099999999999,-227.402
prev_day_high_break,fixed_4r_2r,yes,20,0.3,-1.381385,-27.6277
prev_day_high_break,hybrid_50pct_target,yes,20,0.4,-47.26196,-945.2392
prev_day_high_break,ma_exit_ema9,yes,20,0.25,-0.821965,-16.4393
prev_day_high_break,mfe_lockin_trail,yes,20,0.2,-1.50482,-30.0964
prev_day_high_break,multi_tier_partial,yes,20,0.4,-1.2337099999999999,-24.6742
prev_day_high_break,next_pivot_target,yes,20,0.5,-1.2037150000000003,-24.074300000000004
prev_day_high_break,r_multiple_2r,yes,20,0.3,-1.243715,-24.874299999999998
prev_day_high_break,r_multiple_3r,yes,20,0.2,-1.8346699999999998,-36.6934
prev_day_high_break,regime_flip,yes,20,0.45,-9.1893,-183.786
prev_day_high_break,reverse_signal,yes,20,0.2,-1.2239649999999997,-24.479299999999995
prev_day_high_break,smc_mitigation_zone,yes,20,0.2,-1.2239649999999997,-24.479299999999995
prev_day_high_break,time_stop_10d,yes,20,0.45,-4.888455,-97.76910000000001
prev_day_high_break,time_stop_20d,yes,20,0.45,-9.1893,-183.786
prev_day_high_break,trailing_10pct,yes,20,0.4,-2.939585,-58.7917
prev_day_high_break,trailing_15pct,yes,20,0.15,-7.70446,-154.0892
prev_day_high_break,trailing_5pct,yes,20,0.25,-1.77185,-35.437
prev_day_low_bounce,atr_trail_1x,yes,12,0.16666666666666666,-1.407075,-16.884900000000002
prev_day_low_bounce,atr_trail_2x,yes,12,0.5,1.1056916666666667,13.2683
prev_day_low_bounce,atr_trail_mae_conditional,yes,12,0.16666666666666666,-1.407075,-16.884900000000002
prev_day_low_bounce,atr_trail_vix_conditional,yes,12,0.3333333333333333,0.1414,1.6967999999999999
prev_day_low_bounce,break_even_at_1r,yes,12,0.08333333333333333,-0.4313500000000001,-5.1762000000000015
prev_day_low_bounce,breakeven_plus_trail,yes,12,0.3333333333333333,-0.4085750000000001,-4.902900000000001
prev_day_low_bounce,chandelier_3x,yes,12,0.3333333333333333,-0.31597499999999995,-3.7916999999999996
prev_day_low_bounce,class_time_stop,yes,12,0.25,-0.9026583333333336,-10.831900000000003
prev_day_low_bounce,earnings_blackout,yes,12,0.5,2.4736583333333337,29.683900000000005
prev_day_low_bounce,fixed_4r_2r,yes,12,0.5,4.291808333333333,51.5017
prev_day_low_bounce,hybrid_50pct_target,yes,12,0.5,1.3094583333333334,15.7135
prev_day_low_bounce,ma_exit_ema9,yes,12,0.16666666666666666,0.20233333333333317,2.427999999999998
prev_day_low_bounce,mfe_lockin_trail,yes,12,0.16666666666666666,-1.2978500000000002,-15.574200000000001
prev_day_low_bounce,multi_tier_partial,yes,12,0.16666666666666666,-1.2994166666666667,-15.593
prev_day_low_bounce,next_pivot_target,yes,12,0.75,-0.9760333333333334,-11.7124
prev_day_low_bounce,r_multiple_2r,yes,12,0.3333333333333333,0.03320000000000012,0.3984000000000014
prev_day_low_bounce,r_multiple_3r,yes,12,0.25,-0.4498583333333334,-5.398300000000001
prev_day_low_bounce,regime_flip,yes,12,0.6666666666666666,1.6310833333333334,19.573
prev_day_low_bounce,reverse_signal,yes,12,0.16666666666666666,-1.407075,-16.884900000000002
prev_day_low_bounce,smc_mitigation_zone,yes,12,0.16666666666666666,-1.407075,-16.884900000000002
prev_day_low_bounce,time_stop_10d,yes,12,0.5,-1.3962083333333333,-16.7545
prev_day_low_bounce,time_stop_20d,yes,12,0.6666666666666666,1.6310833333333334,19.573
prev_day_low_bounce,trailing_10pct,yes,12,0.5,1.42225,17.067
prev_day_low_bounce,trailing_15pct,yes,12,0.3333333333333333,-1.6014166666666672,-19.217000000000006
prev_day_low_bounce,trailing_5pct,yes,12,0.25,-1.0705083333333334,-12.8461
r1_break_retest,atr_trail_1x,yes,24,0.3333333333333333,-0.3029583333333333,-7.270999999999999
r1_break_retest,atr_trail_2x,yes,24,0.3333333333333333,-2.7661041666666666,-66.3865
r1_break_retest,atr_trail_mae_conditional,yes,24,0.3333333333333333,-0.3029583333333333,-7.270999999999999
r1_break_retest,atr_trail_vix_conditional,yes,24,0.25,-1.498245833333333,-35.957899999999995
r1_break_retest,break_even_at_1r,yes,24,0.125,-2.064645833333333,-49.5515
r1_break_retest,breakeven_plus_trail,yes,24,0.16666666666666666,-1.9510750000000001,-46.8258
r1_break_retest,chandelier_3x,yes,24,0.20833333333333334,-3.9261874999999997,-94.2285
r1_break_retest,class_time_stop,yes,24,0.4583333333333333,0.3554249999999999,8.530199999999997
r1_break_retest,earnings_blackout,yes,24,0.4166666666666667,-7.878879166666667,-189.0931
r1_break_retest,fixed_4r_2r,yes,24,0.125,-5.240162499999999,-125.76389999999999
r1_break_retest,hybrid_50pct_target,yes,24,0.25,-5.515791666666666,-132.379
r1_break_retest,ma_exit_ema9,yes,24,0.375,-0.23416249999999994,-5.619899999999999
r1_break_retest,mfe_lockin_trail,yes,24,0.3333333333333333,-0.21509166666666668,-5.1622
r1_break_retest,multi_tier_partial,yes,24,0.625,0.10299583333333324,2.471899999999998
r1_break_retest,next_pivot_target,yes,24,0.5416666666666666,-2.2449291666666666,-53.878299999999996
r1_break_retest,r_multiple_2r,yes,24,0.4166666666666667,-0.26833749999999995,-6.440099999999999
r1_break_retest,r_multiple_3r,yes,24,0.20833333333333334,-1.7897041666666667,-42.9529
r1_break_retest,regime_flip,yes,24,0.3333333333333333,-5.0929125,-122.2299
r1_break_retest,reverse_signal,yes,24,0.3333333333333333,-0.3029583333333333,-7.270999999999999
r1_break_retest,smc_mitigation_zone,yes,24,0.3333333333333333,-0.3029583333333333,-7.270999999999999
r1_break_retest,time_stop_10d,yes,24,0.4583333333333333,-1.9782541666666666,-47.4781
r1_break_retest,time_stop_20d,yes,24,0.3333333333333333,-5.0929125,-122.2299
r1_break_retest,trailing_10pct,yes,24,0.16666666666666666,-5.257883333333333,-126.1892
r1_break_retest,trailing_15pct,yes,24,0.20833333333333334,-5.748395833333333,-137.9615
r1_break_retest,trailing_5pct,yes,24,0.25,-2.3508166666666668,-56.4196
risk_off_bond_equity_short,atr_trail_1x,yes,33,0.18181818181818182,-1.5992696969696971,-52.77590000000001
