date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price,action,new_stop
2023-11-14,halt_triggered,,,6.0,-0.3691,101328.74,63924.54,,,,,
2023-11-16,halt_resumed,,,6.0,-0.3521,101328.74,65648.91,,,,,
2023-11-17,halt_triggered,,,6.0,-0.3521,101328.74,65648.91,,,,,
2024-01-17,halt_triggered,,,6.0,-0.4847,101328.74,52210.15,,,,,
2024-02-01,,,,1.0,,,,CTVA,overnight_gap_up_24.2pct,56.49,,
2024-02-21,halt_resumed,,,6.0,-0.4349,101328.74,57260.89,,,,,
2024-02-21,dispersion_cb_triggered_dec128,3.1639,0.040069,,,,,,,,,
2024-02-22,halt_triggered,,,6.0,-0.4349,101328.74,57260.89,,,,,
2024-04-23,halt_triggered,,,6.0,-0.4301,101328.74,57742.62,,,,,
2024-04-30,halt_resumed,,,6.0,-0.3741,101328.74,63425.44,,,,,
2024-05-01,halt_triggered,,,6.0,-0.3741,101328.74,63425.44,,,,,
2024-05-22,,,,1.0,,,,PLAB,overnight_gap_down_16.4pct,23.63,,
2024-07-02,halt_triggered,,,6.0,-0.4148,101328.74,59295.05,,,,,
2024-09-04,halt_triggered,,,6.0,-0.4153,101328.74,59251.01,,,,,
2024-11-05,halt_triggered,,,6.0,-0.4153,101328.74,59251.01,,,,,
2025-01-07,halt_triggered,,,6.0,-0.438,101328.74,56947.88,,,,,
2025-03-11,halt_triggered,,,6.0,-0.4748,101328.74,53215.8,,,,,
2025-04-04,,,,5.0,,,,USFD,vix_crisis_45.3,,tighten_stop,68.7135
2025-04-04,,,,5.0,,,,SPY,vix_crisis_45.3,,tighten_stop,582.2834999999999
2025-04-04,,,,5.0,,,,PM,vix_crisis_45.3,,tighten_stop,153.9665
2025-04-04,,,,5.0,,,,ICE,vix_crisis_45.3,,tighten_stop,167.542
2025-04-04,,,,5.0,,,,PECO,vix_crisis_45.3,,tighten_stop,37.81
2025-04-04,,,,5.0,,,,DOV,vix_crisis_45.3,,tighten_stop,170.8665
2025-04-04,,,,5.0,,,,STT,vix_crisis_45.3,,tighten_stop,86.9715
2025-04-04,halt_resumed,,,6.0,-0.3678,101328.74,64062.64,,,,,
2025-04-07,,,,5.0,,,,DOV,vix_crisis_47.0,,tighten_stop,161.22750000000002
2025-04-07,,,,5.0,,,,STT,vix_crisis_47.0,,tighten_stop,80.0625
2025-04-07,halt_triggered,,,6.0,-0.3678,101328.74,64062.64,,,,,
2025-04-08,,,,5.0,,,,DOV,vix_crisis_52.3,,tighten_stop,159.0435
2025-04-08,,,,5.0,,,,STT,vix_crisis_52.3,,tighten_stop,80.0625
2025-04-08,halt_resumed,,,6.0,-0.3499,101328.74,65872.84,,,,,
2025-04-09,halt_triggered,,,6.0,-0.3997,101328.74,60828.7,,,,,
2025-04-10,,,,5.0,,,,CTVA,vix_crisis_40.7,,tighten_stop,57.609300000000005
2025-06-10,halt_triggered,,,6.0,-0.4049,101328.74,60298.28,,,,,
2025-08-12,halt_triggered,,,6.0,-0.4228,101328.74,58483.97,,,,,
2025-10-14,halt_triggered,,,6.0,-0.4487,101328.74,55865.2,,,,,
