# T3 Tier 3 Universe_Momentum Top-100_Jun 2022 to May 2026.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
ATEC,,Health Care,2026-01-01,2026-02-02,1.458107,,22.59
ATGE,,Unknown,2025-05-01,2025-06-02,1.071055,,102.89
ATI,,Materials,2022-10-03,2023-03-01,2.03413,,160.02
ATI,,Materials,2023-04-03,2023-05-01,2.03413,,160.02
ATI,,Materials,2026-04-01,2026-05-01,2.03413,,160.02
ATKR,,Industrials,2023-10-02,2023-11-01,1.036991,,145.93
ATLX,,Materials,2024-02-01,2024-03-01,3.271447,,33.36
ATNM,,Health Care,2023-04-03,2023-05-01,0.964215,,9.88
ATRO,,Consumer Discretionary,2025-11-03,,1.962048,,64.78
ATYR,,Health Care,2025-08-01,2025-11-03,1.971264,,5.17
AU,,Materials,2025-11-03,2026-05-01,2.441128,,124.5
AUPH,,Health Care,2024-01-01,2024-02-01,1.077859,,8.54
AUR,,Information Technology,2024-11-01,2025-01-01,1.329545,,6.15
AUR,,Information Technology,2025-03-03,2025-08-01,1.329545,,6.15
AURC,,Unknown,2023-09-01,2023-10-02,3.463019,,44.05
AVAV,,Consumer Discretionary,2024-07-01,2024-09-02,0.872146,,177.91
AVD,,Materials,2022-09-01,2022-10-03,0.543349,,23.32
AVDL,,Unknown,2023-07-03,2023-10-02,1.820681,,21.55
AVDL,,Unknown,2024-02-01,2024-03-01,1.820681,,21.55
