# T3 momentum_watchlist.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
BELFB,,,2022-09-01,2022-10-03,1.858166,,203.53
BELFB,,,2023-06-01,2023-10-02,1.858166,,203.53
BELFB,,,2026-05-01,,1.858166,,203.53
BERZ,,,2022-11-01,2023-02-01,0.848221,,6260.0
BETR,,,2025-11-03,2026-03-02,2.436052,,34.12
BFRG,,,2024-03-01,2024-04-01,1.17284,,7.04
BGNE,,,2023-06-01,2023-07-03,0.907211,,255.49
BHVN,,,2023-12-01,2024-07-01,1.085039,,39.72
BHVN,,,2024-09-02,2024-10-01,1.085039,,39.72
BIOA,,,2026-03-02,,2.817967,,16.15
BITO,,,2023-12-01,2024-01-01,0.679097,,17.11
BITU,,,2025-09-01,2025-10-01,1.374465,,61.0
BITX,,,2024-07-01,2024-11-01,1.550898,,59.64
BITX,,,2025-01-01,2025-02-03,1.550898,,59.64
BKCH,,,2024-02-01,2024-03-01,1.69893,,52.98
BKCH,,,2024-04-01,2024-05-01,1.69893,,52.98
BKD,,,2024-02-01,2024-03-01,0.896848,,6.62
BKD,,,2024-08-01,2024-09-02,0.896848,,6.62
BKSY,,,2025-10-01,2025-12-01,1.796919,,19.97
BKTI,,,2025-08-01,2025-09-01,2.085489,,82.29
BKTI,,,2025-11-03,2025-12-01,2.085489,,82.29
BLBD,,,2023-07-03,2023-09-01,1.599249,,48.45
BLBD,,,2023-11-01,2023-12-01,1.599249,,48.45
BLBD,,,2024-07-01,2024-12-02,1.599249,,48.45
BLDR,,,2023-07-03,2024-01-01,0.755783,,106.26
BLTE,,,2026-02-02,2026-03-02,1.794893,,165.29
BLU,,,2022-06-01,2022-10-03,0.748792,,14.48
BLU,,,2023-06-01,2023-07-03,0.748792,,14.48
BMA,,,2023-08-01,2023-09-01,1.682043,,97.68
BMA,,,2024-05-01,2024-09-02,1.682043,,97.68
BMA,,,2024-10-01,2025-04-01,1.682043,,97.68
BMEA,,,2023-05-01,2023-09-01,0.940497,,21.85
BMI,,,2023-06-01,2023-07-03,0.676088,,132.83
BMR,,,2024-04-01,2024-05-01,2.366279,,5.79
BMR,,,2025-02-03,2025-03-03,2.366279,,5.79
BNO,,,2022-06-01,2022-10-03,0.707265,,31.96
BOIL,,,2022-06-01,2022-08-01,0.709655,,4905.0
BOIL,,,2022-09-01,2022-10-03,0.709655,,4905.0
BOIL,,,2023-01-02,2023-02-01,0.709655,,4905.0
BORR,,,2022-07-01,2022-09-01,2.134715,,6.05
BORR,,,2023-03-01,2023-06-01,2.134715,,6.05
BORR,,,2023-08-01,2023-10-02,2.134715,,6.05
BORR,,,2026-05-01,,2.134715,,6.05
BPMC,,,2024-03-01,2024-04-01,1.258751,,110.34
