strategy,exit_method,days_from_quarter_end_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,trailing_15pct,14,10,0.6,4.82146,48.214600000000004
bollinger_lower,trailing_15pct,16,3,0.0,-14.878300000000001,-44.6349
bollinger_lower,trailing_15pct,17,7,0.7142857142857143,4.986857142857143,34.908
bollinger_lower,trailing_15pct,18,2,0.5,20.16425,40.3285
bollinger_lower,trailing_15pct,19,2,1.0,5.9836,11.9672
bollinger_lower,trailing_15pct,21,3,0.3333333333333333,7.3304333333333345,21.991300000000003
bollinger_lower,trailing_15pct,25,2,0.5,-3.84065,-7.6813
bollinger_lower,trailing_15pct,26,1,0.0,-8.9109,-8.9109
bollinger_lower,trailing_15pct,27,3,0.0,-8.683766666666665,-26.051299999999998
bollinger_lower,trailing_15pct,28,3,0.0,-12.1967,-36.5901
bollinger_lower,trailing_15pct,29,3,0.0,-10.985933333333334,-32.9578
bollinger_lower,trailing_15pct,30,4,0.0,-10.7894,-43.1576
bollinger_lower,trailing_15pct,31,1,0.0,-15.0,-15.0
bollinger_lower,trailing_15pct,32,4,0.25,-7.448125,-29.7925
bollinger_lower,trailing_15pct,33,1,1.0,0.3885,0.3885
bollinger_lower,trailing_15pct,35,2,0.0,-14.3927,-28.7854
bollinger_lower,trailing_15pct,36,2,1.0,3.03425,6.0685
bollinger_lower,trailing_15pct,37,2,1.0,22.397399999999998,44.794799999999995
bollinger_lower,trailing_15pct,38,2,0.5,-3.20965,-6.4193
bollinger_lower,trailing_15pct,39,2,0.0,-4.4551,-8.9102
bollinger_lower,trailing_15pct,40,1,0.0,-10.942,-10.942
bollinger_lower,trailing_15pct,41,2,0.5,27.1704,54.3408
bollinger_lower,trailing_15pct,43,3,0.6666666666666666,12.648766666666667,37.9463
bollinger_lower,trailing_15pct,44,3,0.3333333333333333,2.2488333333333324,6.7464999999999975
bollinger_lower,trailing_15pct,45,2,0.0,-11.74345,-23.4869
bollinger_lower,trailing_15pct,46,1,1.0,25.7264,25.7264
bollinger_lower,trailing_15pct,47,3,0.3333333333333333,0.988166666666667,2.964500000000001
