strategy_name,direction,category,n_fires,class,fired_regimes,regime_affinity,disabled_flag,exploratory_flag,producer_signals,root_cause_hypothesis,notes
institutional_insider_combo_long,long,unknown,1,STARVED,bear,,False,False,"insider_cluster_active,institutional_buy,price_above_ema_200",REVIEW_NEEDED,
institutional_persistence_oversold_long,long,unknown,1,STARVED,bull,,False,False,"institutional_increased,price_above_ema_200,rsi_14",REVIEW_NEEDED,
institutional_with_officers_long,long,unknown,1,STARVED,bear,,False,False,"insider_officer_buyers_30d,institutional_buy,price_above_ema_200",REVIEW_NEEDED,
inverted_cup_and_handle_short,short,unknown,1,STARVED,bull,,False,True,"below_ema_200,below_ema_50,inverted_cup_handle_detected,rsi_14,vol_spike_2x",EXPLORATORY_INTENTIONAL,
january_effect_small_cap_long,long,unknown,1,STARVED,bull,"bear,bull,neutral",False,True,"cap_band,is_january,price_above_ema_200",EXPLORATORY_INTENTIONAL,
judas_swing_long,long,unknown,1,STARVED,bull,,False,False,"close_above_open,near_pivot,smc_liquidity_swept_dn",REVIEW_NEEDED,
mfi_oversold,dual,unknown,1,STARVED,bull,,False,True,"mfi_overbought,mfi_oversold,near_r1,near_r2,near_s1,near_s2,obv_bearish,obv_bullish",EXPLORATORY_INTENTIONAL,
pead_with_insider_confirmation_long,long,unknown,1,STARVED,bull,"bear,bull,neutral",False,False,"insider_cluster_active,pead_positive_surprise,within_pead_window",REVIEW_NEEDED,
pivot_s2_bounce,dual,unknown,1,STARVED,bear,,False,False,"bearish_engulfing,bullish_engulfing,hammer,near_r2,near_s2,rsi_14",REVIEW_NEEDED,
smc_fvg_retest_long,long,unknown,1,STARVED,bull,"bull,neutral",False,False,"price_above_ema_200,smc_fvg_retest_long_zone",REVIEW_NEEDED,
smc_mitigation_block_short,short,unknown,1,STARVED,bear,"bear,crisis,neutral",False,False,"below_ema_200,rsi_14,smc_mitigation_block_short",REVIEW_NEEDED,
three_white_soldiers,dual,unknown,98,MARGINAL,"bear,bull,neutral","bear,bull",False,False,"rsi_14,three_white_soldiers",REVIEW_NEEDED,
institutional_cluster_long,long,unknown,93,MARGINAL,"bear,bull,neutral",bear,False,False,"institutional_increased,institutional_new_positions,institutional_strong_buy,price_above_ema_200",REVIEW_NEEDED,
avwap_50_reclaim,dual,unknown,89,MARGINAL,"bear,bull,neutral",,False,False,"avwap_50low_loss_recent_3d,avwap_50low_reclaim_recent_3d,below_ema_200,macd_12_26_9_bullish,price_above_ema_200",REVIEW_NEEDED,
smc_breaker_block_short,short,unknown,89,MARGINAL,"bear,bull,neutral","bear,crisis,neutral",False,False,"below_ema_200,smc_breaker_block_bearish",REVIEW_NEEDED,
three_black_crows_short,short,unknown,83,MARGINAL,"bear,bull,neutral",,False,False,"rsi_14,three_black_crows",REVIEW_NEEDED,
smc_inverse_fvg,dual,unknown,81,MARGINAL,"bear,bull,neutral","bear,bull,neutral",False,False,"below_ema_200,force_index_cross_up,price_above_ema_200,smc_inverse_fvg_bearish,smc_inverse_fvg_bullish,vol_spike_2x",REVIEW_NEEDED,
