date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price
2023-07-27,halt_triggered,,,6.0,-1.6608,100000.0,-66082.34,,,
2023-07-28,halt_resumed,,,6.0,-1.6608,100000.0,-66082.34,,,
2023-07-31,halt_triggered,,,6.0,-1.6608,100000.0,-66082.34,,,
2023-08-01,halt_resumed,,,6.0,-1.6608,100000.0,-66082.34,,,
2023-08-02,halt_triggered,,,6.0,-1.6608,100000.0,-66082.34,,,
2023-08-03,halt_resumed,,,6.0,-1.6608,100000.0,-66082.34,,,
2023-08-04,halt_triggered,,,6.0,-1.6608,100000.0,-66082.34,,,
2023-08-07,halt_resumed,,,6.0,-1.6608,100000.0,-66082.34,,,
2023-08-08,halt_triggered,,,6.0,-1.6348,100000.0,-63481.79000000001,,,
2023-08-09,halt_resumed,,,6.0,-1.5549,100000.0,-55494.30000000002,,,
2023-08-10,halt_triggered,,,6.0,-1.5596,100000.0,-55958.45999999999,,,
2023-08-11,halt_resumed,,,6.0,-1.5438,100000.0,-54382.06,,,
2023-08-14,halt_triggered,,,6.0,-1.5438,100000.0,-54382.06,,,
2023-08-15,halt_resumed,,,6.0,-1.5438,100000.0,-54382.06,,,
2023-08-16,halt_triggered,,,6.0,-1.5489,100000.0,-54890.34,,,
2023-08-17,halt_resumed,,,6.0,-1.479,100000.0,-47900.95000000001,,,
2023-08-18,halt_triggered,,,6.0,-1.479,100000.0,-47900.95000000001,,,
2023-08-21,halt_resumed,,,6.0,-1.479,100000.0,-47900.95000000001,,,
2023-08-21,dispersion_cb_triggered_dec128,3.2554,0.026659,,,,,,,
2023-08-22,halt_triggered,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-08-23,halt_resumed,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-08-24,halt_triggered,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-08-25,halt_resumed,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-08-28,halt_triggered,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-08-29,halt_resumed,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-08-30,halt_triggered,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-08-31,halt_resumed,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-09-01,halt_triggered,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-09-04,halt_resumed,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-09-05,halt_triggered,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-09-06,halt_resumed,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-09-07,halt_triggered,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-09-08,halt_resumed,,,6.0,-1.4773,100000.0,-47726.67999999999,,,
2023-09-11,halt_triggered,,,6.0,-1.487,100000.0,-48695.20999999999,,,
2023-09-12,halt_resumed,,,6.0,-1.487,100000.0,-48695.20999999999,,,
2023-09-13,halt_triggered,,,6.0,-1.487,100000.0,-48695.20999999999,,,
2023-09-14,halt_resumed,,,6.0,-1.487,100000.0,-48695.20999999999,,,
2023-09-15,halt_triggered,,,6.0,-1.4928,100000.0,-49283.55000000002,,,
2023-09-18,halt_resumed,,,6.0,-1.4928,100000.0,-49283.55000000002,,,
